,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
355,HakeemDawodu,145.0,73.0,31,5.39,2.72,0.0,0.0,50.0,59.0,0.0,65.0,13.0,2.0,JulianErosa,145.0,74.0,33,6.29,6.51,1.69,0.8,48.0,48.0,52.0,61.0,27.0,10.0,0,0,0,145.0,-200.0
356,JailtonAlmeida,205.0,79.0,31,3.48,0.49,6.27,2.1,53.0,12.0,66.0,50.0,16.0,2.0,AntonTurkalj,205.0,78.0,26,1.4,1.27,1.0,0.0,56.0,58.0,68.0,0.0,8.0,0.0,1,1,0,163.0,-225.0
357,DenisTiuliulin,185.0,77.0,34,4.45,6.03,0.0,0.0,37.0,37.0,0.0,33.0,10.0,6.0,JamiePickett,185.0,80.0,34,2.89,3.97,1.57,0.2,50.0,46.0,47.0,64.0,13.0,7.0,1,0,1,-350.0,245.0
358,JakeCollier,230.0,78.0,34,5.67,4.65,0.81,0.4,43.0,51.0,33.0,67.0,13.0,7.0,ChrisBarnett,265.0,75.0,36,3.6,5.59,0.0,0.0,45.0,37.0,0.0,0.0,22.0,8.0,0,0,1,-460.0,300.0
359,ChadAnheliger,135.0,64.0,36,3.99,3.33,0.0,1.6,54.0,50.0,0.0,52.0,12.0,5.0,Alatengheili,135.0,66.0,31,2.86,5.07,1.73,0.0,33.0,58.0,33.0,72.0,15.0,8.0,0,0,0,650.0,-1350.0
360,DarianWeeks,170.0,11.0,29,5.27,6.07,2.5,0.0,55.0,49.0,45.0,0.0,5.0,2.0,YohanLainesse,170.0,76.0,30,4.32,4.69,2.82,1.4,49.0,60.0,40.0,0.0,8.0,1.0,0,0,0,-110.0,-125.0
361,CorySandhagen,135.0,11.0,30,6.42,4.5,0.71,0.4,44.0,55.0,33.0,67.0,14.0,4.0,SongYadong,135.0,67.0,25,4.92,3.78,0.45,0.3,42.0,59.0,42.0,60.0,19.0,6.0,1,0,1,-140.0,-150.0
362,ChidiNjokuani,185.0,80.0,34,3.76,1.45,0.0,0.5,73.0,56.0,0.0,76.0,22.0,7.0,GregoryRodrigues,185.0,75.0,30,6.0,5.73,2.4,0.7,55.0,53.0,53.0,0.0,12.0,4.0,0,0,1,-150.0,100.0
363,AndreFili,145.0,11.0,32,3.82,3.92,2.49,0.2,36.0,52.0,50.0,68.0,21.0,9.0,BillAlgeo,145.0,73.0,33,5.73,4.18,0.92,0.0,54.0,43.0,50.0,54.0,16.0,6.0,1,0,0,230.0,-310.0
364,JoePyfer,185.0,75.0,26,3.45,2.45,2.73,1.4,52.0,50.0,0.0,50.0,9.0,2.0,AlenAmedovski,185.0,10.0,34,0.55,3.91,0.0,0.0,25.0,36.0,0.0,0.0,8.0,3.0,1,0,1,-625.0,375.0
365,TannerBoser,255.0,75.0,31,4.23,2.16,0.0,0.0,51.0,63.0,0.0,70.0,20.0,8.0,RodrigoNascimento,246.0,80.0,30,5.46,6.14,1.71,1.7,57.0,38.0,40.0,0.0,8.0,1.0,0,0,0,-152.0,115.0
366,AnthonyHernandez,185.0,75.0,29,4.26,3.93,5.39,2.3,58.0,46.0,70.0,66.0,9.0,2.0,Marc-AndreBarriault,185.0,74.0,32,5.79,5.04,0.34,0.2,46.0,55.0,25.0,68.0,14.0,5.0,1,1,0,-360.0,250.0
367,DamonJackson,145.0,11.0,34,2.55,2.86,2.47,2.1,41.0,50.0,38.0,40.0,21.0,4.0,PatSabatini,145.0,70.0,32,1.69,1.3,3.84,1.9,56.0,53.0,44.0,50.0,17.0,3.0,1,0,1,-170.0,114.0
368,TrevinGiles,170.0,74.0,30,3.09,2.2,1.37,0.5,54.0,59.0,64.0,75.0,14.0,4.0,LouisCosce,170.0,71.0,27,8.22,9.3,1.07,0.0,48.0,48.0,11.0,0.0,7.0,1.0,1,0,0,-265.0,180.0
369,TonyGravely,135.0,69.0,31,3.92,3.04,6.65,0.4,52.0,47.0,55.0,52.0,23.0,7.0,JavidBasharat,135.0,69.0,27,5.45,2.53,1.54,0.5,58.0,64.0,60.0,0.0,12.0,0.0,0,0,0,-1800.0,700.0
370,NikolasMotta,155.0,70.0,29,2.87,4.64,0.0,0.0,30.0,60.0,0.0,0.0,12.0,4.0,CameronVanCamp,155.0,74.0,29,7.35,6.58,0.0,0.0,61.0,29.0,0.0,0.0,15.0,6.0,1,0,1,-400.0,275.0
371,AlexaGrasso,125.0,66.0,29,4.92,3.79,0.54,0.7,43.0,63.0,57.0,60.0,14.0,3.0,VivianeAraujo,125.0,68.0,36,4.76,5.13,2.23,0.6,48.0,58.0,60.0,90.0,11.0,3.0,1,0,0,-195.0,150.0
372,CubSwanson,135.0,70.0,39,4.66,3.65,1.08,0.5,50.0,60.0,51.0,61.0,28.0,12.0,JonathanMartinez,135.0,70.0,28,4.72,3.77,0.54,0.0,48.0,60.0,50.0,73.0,16.0,4.0,0,0,1,-350.0,250.0
373,JordanWright,185.0,77.0,31,7.37,7.61,2.38,0.0,66.0,36.0,40.0,0.0,12.0,3.0,DuskoTodorovic,185.0,74.0,28,5.36,4.77,1.14,0.0,54.0,47.0,14.0,50.0,11.0,3.0,0,0,1,-128.0,-105.0
374,RaphaelAssuncao,135.0,66.0,40,3.2,2.34,1.44,0.3,40.0,68.0,38.0,77.0,27.0,9.0,VictorHenry,135.0,68.0,35,2.07,8.93,0.0,0.0,51.0,51.0,0.0,85.0,22.0,5.0,1,0,0,-250.0,175.0
375,MishaCirkunov,205.0,77.0,35,3.87,3.0,4.25,1.8,51.0,57.0,43.0,76.0,15.0,8.0,AlonzoMenifield,205.0,76.0,35,3.88,3.23,0.82,0.2,56.0,53.0,30.0,83.0,12.0,3.0,0,0,1,160.0,-225.0
376,ManaMartinez,135.0,10.0,26,3.8,3.55,0.93,0.9,50.0,41.0,66.0,12.0,9.0,3.0,BrandonDavis,135.0,10.0,32,4.63,4.46,0.7,0.1,35.0,60.0,45.0,56.0,14.0,9.0,1,0,0,260.0,-400.0
